Survey order	Use case	Must have	Nice to have	Not important	Weighted Score	Caleb Sunstrum	Barry Revzin	Alisdair Meredith	Lisa Lippincott	Timur Doumler	John Lakos	Attila Fehér	Fabio Fracassi	Rostislav Khlebnikov	Vittorio Romeo	Andrzej Krzemienski		Ville Voutilainen	Tomasz Kamiński	Miguel Ojeda	Gašper Ažman	Jonathan Caves		Joshua Berne	Balog Pal	Tom Honermann	John McFarlane	Roger Orr	Aaron Ballman	Dr Peter Brett	Thomas Russell	Tony Van Eerd	Hal Finkel	Herb Sutter	Ryan McDougall
128	As a: Junior DeveloperIn order to: Improve my codeI want to: Learn about software best practices by example	12	12	4	1.29	Nice to have	Must have	Nice to have	Nice to have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Must have	Nice to have	Nice to have	Not important	Must have	Must have	Nice to have	Nice to have	Must have	Not important	Not important	Must have	Nice to have	Nice to have	Must have	Not important	Must have	Nice to have	Must have	Must have
129	As an: Agile DeveloperIn order to: Iterate quicklyI want to: Be able to write and modify contracts quickly without heavy boiler plate or up front cost	13	14	1	1.43	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Must have	Not important	Must have	Nice to have	Must have	Must have
130	As an: Agile DeveloperIn order to: Safeguard evolving codeI want to: Assert against conditions I am aware of but not finished handling fully	9	11	8	1.04	Nice to have	Must have	Nice to have	Not important	Nice to have	Not important	Nice to have	Must have	Nice to have	Must have	Not important	Nice to have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Not important	Must have	Nice to have	Not important	Nice to have	Not important	Not important	Not important	Must have	Nice to have
131	As a: Business DeveloperIn order to: Maintain confidentialityI want to: Not expose diagnostic information (source location, expressions, etc.) in the software I deliver to clients, even when I choose to have contracts enforced in the software I deliver	5	11	12	0.75	Nice to have	Not important	Not important	Must have	Not important	Nice to have	Not important	Nice to have	Must have	Nice to have	Must have	Nice to have	Nice to have	Must have	Must have	Not important	Not important	Nice to have	Nice to have	Not important	Not important	Not important	Not important	Not important	Nice to have	Not important	Nice to have	Nice to have	Not important	Not important
132	As a: Performance Sensitive DeveloperIn order to: Enable better performanceI want to: Annotate my code with assumptions, likelihoods, or reachability information that a tool might not be able to deduce, but that I would be confident of	13	9	6	1.25	Nice to have	Must have	Must have	Nice to have	Must have	Not important	Not important	Nice to have	Nice to have	Must have	Not important	Nice to have	Nice to have	Nice to have	Not important	Must have	Not important	Must have	Must have	Not important	Must have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Not important	Nice to have
133	As a: Performance Sensitive DeveloperIn order to: Enable better performanceI want to: Be able to give statically-unprovable facts to current and novel optimizers in terms of semantics my program does not depend-on but optimizers can’t figure out	13	10	5	1.29	Nice to have	Must have	Must have	Not important	Must have	Not important	Not important	Nice to have	Not important	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Not important	Must have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Not important	Nice to have
134	As a: Performance Sensitive DeveloperIn order to: Enable better performanceI want to: Accept responsibility for a malformed program that might result from eventually false information given by my annotations	15	7	6	1.32	Must have	Must have	Not important	Must have	Must have	Not important	Not important	Nice to have	Not important	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Must have	Not important	Nice to have	Must have	Must have	Must have	Must have	Must have	Not important	Must have	Must have	Nice to have	Must have	Not important	Nice to have
135	As a: Performance Sensitive DeveloperIn order to: Have safety critical pathsI want to: Isolate safety checks from performance annotations	11	11	6	1.18	Must have	Must have	Nice to have	Not important	Nice to have	Not important	Must have	Must have	Not important	Must have	Must have	Nice to have	Must have	Must have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Not important	Nice to have	Not important	Nice to have	Must have	Nice to have	Must have	Not important	Must have
136	As a: Performance Sensitive DeveloperIn order to: Have safety critical pathsI want to: Retain checking even when optimizing with performance annotations	13	8	7	1.21	Must have	Must have	Must have	Not important	Nice to have	Must have	Must have	Must have	Not important	Must have	Not important	Nice to have	Must have	Not important	Not important	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Not important	Nice to have	Must have	Nice to have	Not important	Nice to have	Must have	Must have	Not important
137	As a: Quality Sensitive DeveloperIn order to: Enable full checkingI want to: Ensure all checks (pre, post, assert, invariant) are enabled	16	10	2	1.50	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Nice to have	Nice to have	Not important	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Not important	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Must have	Must have
138	As a: Quality Sensitive DeveloperIn order to: Validate correctnessI want to: Signify the predicates that should be verified by an analysis tool	4	18	6	0.93	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Nice to have	Must have
139	As a: Quality Sensitive DeveloperIn order to: Manage multiple toolsI want to: Signify subset of individual annotations to be consumed by a specific kind of verification tool	1	14	13	0.57	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Nice to have	Not important	Nice to have	Not important	Must have	Nice to have	Not important	Nice to have	Nice to have	Not important	Not important	Not important	Not important	Not important	Not important	Must have	Not important
140	As a: Quality Sensitive DeveloperIn order to: Manage multiple toolsI want to: Signify subset of individual annotations to be consumed by a specific instance of verification tool	1	14	13	0.57	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Nice to have	Not important	Nice to have	Not important	Must have	Nice to have	Not important	Nice to have	Nice to have	Not important	Not important	Not important	Not important	Not important	Not important	Nice to have	Not important
141	As a: Quality Sensitive DeveloperIn order to: Manage multiple toolsI want to: Use predicates that may not be understood by all instances of verification	9	12	7	1.07	Nice to have	Must have	Must have	Not important	Nice to have	Must have	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important	Nice to have	Nice to have	Not important	Must have	Not important	Must have	Nice to have	Nice to have	Must have	Must have	Nice to have	Not important	Nice to have	Must have	Not important	Nice to have	Not important	Not important
142	As a: Quality Sensitive DeveloperIn order to: Manage multiple toolsI want to: Use predicates that may not be understood by all kinds of verification	9	12	7	1.07	Nice to have	Must have	Must have	Not important	Nice to have	Must have	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important	Nice to have	Nice to have	Not important	Must have	Not important	Must have	Nice to have	Nice to have	Must have	Must have	Nice to have	Not important	Nice to have	Must have	Not important	Nice to have	Not important	Must have
143	As a: Quality Sensitive DeveloperIn order to: Manage multiple toolsI want to: Integrate the results of that static checker into how my program behaves in different ways: assume proven predicates, make unprovable predicates ill- formed, etc.	4	10	14	0.64	Not important	Nice to have	Not important	Not important	Nice to have	Not important	Not important	Not important	Must have	Nice to have	Not important	Not important	Nice to have	Must have	Not important	Nice to have	Not important	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Not important	Not important	Nice to have	Not important	Nice to have
144	As a: Quality Sensitive DeveloperIn order to: Unit test predicatesI want to: Override failure handler to trigger test failure instead of termination	12	8	8	1.14	Must have	Nice to have	Must have	Nice to have	Must have	Not important	Must have	Must have	Nice to have	Must have	Nice to have	Not important	Must have	Not important	Not important	Must have	Nice to have	Nice to have	Must have	Must have	Must have	Not important	Nice to have	Not important	Not important	Not important	Nice to have	Must have	Nice to have	Must have
145	As a: Quality Sensitive DeveloperIn order to: Unit test violation handlersI want to: Have a way to run handler on all combinations of available build modes	5	12	11	0.79	Must have	Nice to have	Nice to have	Not important	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Not important	Nice to have	Not important	Not important	Must have	Nice to have	Not important	Must have	Nice to have	Not important	Not important	Nice to have	Not important	Nice to have	Not important	Not important	Must have	Nice to have	Must have
146	As a: Quality Sensitive DeveloperIn order to: Catch unexpected failure modesI want to: Log all predicate failure during fuzz testing	11	12	5	1.21	Nice to have	Nice to have	Not important	Must have	Nice to have	Must have	Nice to have	Must have	Nice to have	Must have	Nice to have	Not important	Must have	Must have	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important	Must have	Must have	Nice to have	Nice to have	Must have	Not important	Nice to have	Must have	Nice to have	Nice to have
147	As a: Critical Software DeveloperIn order to: Have a verifiable release systemI want to: Be able to control the configuration of contracts from a central point	10	14	4	1.21	Nice to have	Nice to have	Must have	Not important	Nice to have	Must have	Must have	Must have	Not important	Nice to have	Must have	Not important	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Not important	Must have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have
148	As a: Critical Software DeveloperIn order to: Avoid undefined behaviorI want to: Have contract violation at run-time always have well-defined behavior	7	4	17	0.64	Must have	Not important	Must have	Not important	Not important	Nice to have	Not important	Not important	Not important	Must have	Not important	Not important	Not important	Nice to have	Must have	Not important	Must have	Not important	Must have	Nice to have	Not important	Not important	Nice to have	Must have	Not important	Not important	Not important	Not important	Must have	Must have
149	As a: Critical Software DeveloperIn order to: Not have a faulty program lead to catastrophic failureI want to: Have access to a recovery path after contract violation	6	7	15	0.68	Must have	Must have	Nice to have	Nice to have	Not important	Must have	Not important	Nice to have	Not important	Must have	Not important	Nice to have	Not important	Not important	Not important	Not important	Not important	Not important	Nice to have	Nice to have	Must have	Not important	Not important	Nice to have	Not important	Not important	Not important	Must have	Nice to have	Must have
150	As a: Critical Software DeveloperIn order to: Not have a faulty program lead to catastrophic failureI want to: Be able to express error handling that may be redundant with contract checking	9	8	11	0.93	Must have	Must have	Nice to have	Must have	Not important	Must have	Must have	Must have	Not important	Nice to have	Not important	Not important	Must have	Not important	Not important	Nice to have	Nice to have	Not important	Must have	Not important	Must have	Not important	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Must have	Must have
151	As a: Critical Software DeveloperIn order to: Not have a faulty program lead to catastrophic failureI want to: Not have contract build or run modes possibly be able to change or disable related error handling in any way	10	5	13	0.89	Must have	Must have	Not important	Not important	Not important	Must have	Must have	Must have	Not important	Nice to have	Must have	Not important	Must have	Not important	Must have	Nice to have	Nice to have	Not important	Nice to have	Not important	Must have	Not important	Not important	Must have	Not important	Not important	Nice to have	Not important	Must have	Must have
152	As a: Critical Software DeveloperIn order to: Be assured a critical violation uses a critical recovery pathI want to: Couple recovery path to a specific contract within the source	4	6	18	0.50	Nice to have	Nice to have	Not important	Not important	Not important	Not important	Nice to have	Must have	Not important	Must have	Not important	Nice to have	Not important	Not important	Not important	Not important	Not important	Not important	Must have	Nice to have	Not important	Not important	Not important	Nice to have	Not important	Not important	Not important	Must have	Not important	Must have
153	As a: Critical Software DeveloperIn order to: Meet code coverage requirementsI want to: Be able to run both success and failure branches in my test environment	10	10	8	1.07	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Must have	Must have	Nice to have	Not important	Must have	Nice to have	Must have	Not important	Nice to have	Must have	Must have	Not important	Not important	Must have	Not important	Must have	Must have	Not important	Nice to have	Not important	Nice to have	Nice to have	Must have	Nice to have	Must have
154	As a: Critical Software DeveloperIn order to: Have redundant layeringI want to: Be able to continue to run checks in a production environment (even after formal testing is complete)	14	7	6	1.30	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Not important	Must have	Nice to have	Not important	Must have	Nice to have	Not important	Must have		Not important	Must have	Nice to have	Must have	Must have	Not important	Must have	Must have	Not important	Nice to have	Must have	Nice to have	Must have
155	As a: Critical Software DeveloperIn order to: Maximize coverageI want to: Be able to run checks in a production environment that are considered “cheap” compared to the expected cost of entering an invalid state	10	13	5	1.18	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Must have	Must have	Not important	Must have	Nice to have	Not important	Must have	Nice to have	Not important	Must have	Nice to have	Not important	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Nice to have	Not important	Nice to have	Must have	Not important	Must have
156	As a: Critical Software DeveloperIn order to: Avoid unexpected or undefined behaviorI want to: Ensure checks will never be __assume’d/__builtin_assume’d by the compiler as if they were facts injected into the program (otherwise, if such an assumption ever failed, I would be running a different program that is not equivalent to the one I wrote; assumptions can expand the set of possible executions by injecting facts not otherwise knowable to the compiler)	10	5	13	0.89	Must have	Nice to have	Must have	Not important	Must have	Nice to have	Must have	Must have	Not important	Must have	Nice to have	Not important	Must have	Not important	Must have	Nice to have	Not important	Not important	Not important	Nice to have	Must have	Not important	Not important	Must have	Not important	Not important	Not important	Not important	Must have	Must have
157	As a: Security Sensitive DeveloperIn order to: Limit attack vectorsI want to: Be unable to insert code paths (eg. violation handlers) at run time (eg. build time only)	11	8	8	1.11	Must have	Not important	Nice to have	Must have	Must have	Not important	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Not important	Must have	Must have	Not important	Not important	Must have	Must have	Not important	Not important	Must have	Nice to have	Not important		Nice to have	Must have	Nice to have
158	As a: Security Sensitive DeveloperIn order to: Deliver a certified productI want to: Have build tool only link to a preapproved violation handler	2	14	12	0.64	Nice to have	Not important	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Not important	Not important	Nice to have	Must have	Not important	Not important	Not important	Must have	Not important	Not important	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Must have	Nice to have
159	As a: User of Analysis ToolsIn order to: Improve runtime correctnessI want to: Have runtime checks generated by the tool	6	13	8	0.93	Nice to have	Nice to have		Not important	Not important	Not important	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Not important	Must have	Must have	Not important	Must have	Not important	Must have	Not important	Must have	Must have	Nice to have
160	As a: User of Analysis ToolsIn order to: Improve runtime performanceI want to: Have runtime optimizations generated by the tool	5	16	6	0.96	Nice to have	Nice to have		Not important	Not important	Nice to have	Not important	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Not important	Must have	Not important	Must have	Not important	Nice to have
161	As a: User of Analysis ToolsIn order to: Allow symbolic analysisI want to: Have symbolic proofs for soundness and consistency performed before compile time	4	18	5	0.96	Nice to have	Nice to have		Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Must have	Nice to have	Nice to have	Must have	Not important	Not important	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have
162	As a: User of Analysis ToolsIn order to: Allow code analysisI want to: Have code source, AST, or instruction inspection during compile time	4	15	8	0.85	Must have	Nice to have		Nice to have	Not important	Not important	Not important	Must have	Nice to have	Nice to have	Must have	Not important	Nice to have	Not important	Not important	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have
163	As a: User of Analysis ToolsIn order to: Allow binary analysisI want to: Have binary inspection after compile time	2	8	17	0.44	Nice to have	Nice to have		Nice to have	Not important	Not important	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important	Not important	Not important	Not important	Nice to have	Not important	Not important	Not important	Not important	Not important	Must have	Not important	Nice to have	Not important	Not important	Not important	Not important	Nice to have	Nice to have
164	As a: User of Analysis ToolsIn order to: Improve the quality of analysisI want to: Be able to hint to the analyzer information it may be unable to deduce from source code alone (eg. 5 / opaque(); [[ opaque() != 0]])	5	17	5	1.00	Nice to have	Nice to have		Not important	Nice to have	Not important	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Not important	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Must have	Not important	Must have
165	As a: Provider of Analysis ToolsIn order to: Extend my existing engineI want to: Be able to map pre-existing contract features in tools to a standardized language syntax	5	10	12	0.74	Not important	Nice to have		Not important	Not important	Not important	Not important	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Not important	Must have	Not important	Not important	Nice to have	Not important	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Must have	Not important	Not important	Must have	Not important	Not important
166	As a: TeacherIn order to: Demonstrate best practiceI want to: Be able to express defensive programming, programming by contract, and test driven development to introductory students	14	12	2	1.43	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Not important	Must have	Nice to have	Nice to have	Must have	Not important	Nice to have	Must have	Must have	Nice to have
167	As a: TeacherIn order to: Demonstrate best practiceI want to: Not rely on custom libraries or proprietary extensions	13	12	3	1.36	Nice to have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Must have	Nice to have	Nice to have	Not important	Must have	Not important	Must have	Must have	Must have	Not important	Must have	Nice to have	Must have	Must have
168	As a: TeacherIn order to: Demonstrate best practiceI want to: Demonstrate mock lifecycle by switching simple compiler flags to control which checks are enabled	6	18	4	1.07	Not important	Must have	Nice to have	Nice to have	Nice to have	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Not important	Nice to have	Nice to have	Nice to have	Not important
169	As a: TeacherIn order to: Manage many studentsI want to: Have examples compilable by a standard compiler on any system	22	3	3	1.68	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Not important	Must have	Must have	Must have	Must have	Must have	Not important	Must have	Not important	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Not important
170	As a: TeacherIn order to: Manage many studentsI want to: Have examples that are easy to build without digression into build systems	14	9	5	1.32	Must have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Not important	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Must have	Not important	Must have	Not important	Must have	Not important	Must have	Must have	Nice to have	Must have	Must have	Not important	Must have	Nice to have	Must have	Not important
171	As a: TeacherIn order to: Build layers of understandingI want to: Have simple explanation of assertions and their use to support simple programming tasks, including debugging erroneous programs.	17	9	2	1.54	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Must have	Not important	Must have	Nice to have	Must have	Nice to have	Must have	Nice to have	Must have	Must have	Nice to have	Not important	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Nice to have	Must have	Nice to have	Must have	Not important
172	As a: TeacherIn order to: Build layers of understandingI want to: Support the ability for advanced uses of contracts to be distributed across many different courses in a C++-focused computer science curriculum.	9	14	5	1.14	Nice to have	Must have	Not important	Not important	Nice to have	Must have	Must have	Nice to have	Must have	Nice to have	Must have	Nice to have	Must have	Nice to have	Not important	Must have	Nice to have	Nice to have	Must have	Not important	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Not important
173	As a: Compiler DeveloperIn order to: Deliver best experience to my customersI want to: Maximize implementation freedom by limiting what is strictly required by the standard	6	12	10	0.86	Not important	Must have	Not important	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Not important	Not important	Not important	Nice to have	Nice to have	Must have	Nice to have	Not important	Must have	Not important	Not important	Must have	Not important	Not important
174	As a: Compiler DeveloperIn order to: Deliver the best implementationI want to: Have a clear and simple specification that meets clear need	18	10	0	1.64	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Not important
175	As a: Large Codebase DeveloperIn order to: Debug complex issuesI want to: Have composible and fine grained control over which checks are run, without requiring source code changes. Specifically the checks for only one function or some grouping of functions	9	14	5	1.14	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Must have	Not important	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Not important	Must have	Must have	Must have
176	As a: Large Codebase DeveloperIn order to: Enable/Disable checking on critical/hot pathsI want to: Control whether checks are run based on where they are being called from	6	13	9	0.89	Nice to have	Must have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Not important	Nice to have	Nice to have	Not important	Must have	Not important	Must have	Must have	Not important	Nice to have	Nice to have	Not important	Not important	Not important	Nice to have	Not important	Must have	Must have	Must have
177	As a: Large Codebase OwnerIn order to: Modernize my code baseI want to: Introduce standardized contracts to replace my macro-based contracts	15	12	1	1.50	Must have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Must have	Nice to have	Must have	Nice to have	Must have	Not important	Nice to have	Must have	Must have	Nice to have	Nice to have	Must have	Must have	Must have	Nice to have	Must have	Nice to have	Must have	Must have	Must have	Must have	Nice to have	Must have	Must have
178	As a: Large Codebase OwnerIn order to: Modernize my code baseI want to: Have my existing macro-based facilities interoperate smoothly with standardized contracts so I can do the migration gradually	8	15	5	1.11	Must have	Nice to have	Must have	Nice to have	Not important	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Nice to have	Not important	Must have	Must have	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Must have
179	As a: Large Codebase OwnerIn order to: Introduce new contracts into an existing systemI want to: Have failed individual checks from existing code optionally warn instead of hard stop	13	9	6	1.25	Nice to have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Not important	Not important	Must have	Not important	Not important	Must have	Must have	Must have	Not important	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Must have	Not important	Must have
180	As a: Large Codebase OwnerIn order to: Introduce new contracts into an existing systemI want to: Have failed checks from a new library optionally warn instead of hard stop	13	9	6	1.25	Nice to have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Not important	Not important	Must have	Not important	Not important	Must have	Must have	Must have	Not important	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Must have	Not important	Must have
181	As a: Large Codebase OwnerIn order to: Introduce new parameters or invariants into a contracts based systemI want to: Be able to include distinct clauses for each parameter or invariant with their own individual failure or build controls	5	8	15	0.64	Not important	Not important	Nice to have	Nice to have	Not important	Not important	Nice to have	Nice to have	Must have	Must have	Nice to have	Nice to have	Nice to have	Not important	Not important	Must have	Not important	Nice to have	Must have	Not important	Not important	Not important	Not important	Not important	Not important	Not important	Not important	Must have	Not important	Not important
182	As a: Large Codebase OwnerIn order to: Introduce new elements into a contracts based systemI want to: Have failed checks caused by a change in environment optionally warn instead of hard stop	6	13	9	0.89	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Must have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Must have	Not important	Not important	Nice to have	Not important	Not important	Must have	Must have	Must have	Not important	Not important	Nice to have	Nice to have	Not important	Nice to have	Must have	Not important	Must have
183	As a: Large Codebase OwnerIn order to: Introduce new elements into a contracts based systemI want to: Have failed checks caused by a change in compiler optionally warn instead of hard stop	5	15	8	0.89	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Not important	Not important	Nice to have	Not important	Not important	Must have	Must have	Not important	Not important	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Must have	Not important	Not important
184	As a: Large Codebase OwnerIn order to: Prevent regressionsI want to: Have trusted contracts fail fast and hard stop	15	11	2	1.46	Nice to have	Must have	Must have	Nice to have	Nice to have	Must have	Must have	Must have	Must have	Must have	Nice to have	Not important	Nice to have	Nice to have	Must have	Must have	Nice to have	Must have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Not important	Nice to have	Must have	Must have	Must have
185	As a: Large Codebase OwnerIn order to: Scale violation handlingI want to: Be able to log violations in my organization specific format	13	10	5	1.29	Nice to have	Must have	Nice to have	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Must have	Nice to have	Not important	Must have	Not important	Nice to have	Must have	Not important	Must have	Not important	Nice to have	Nice to have	Must have	Not important	Nice to have	Must have	Nice to have	Must have
186	As a: Large Codebase OwnerIn order to: Allow simulation or post-mortem testing of known failure modesI want to: Optionally disable checking on a subset of individual annotations	8	10	10	0.93	Not important	Not important	Nice to have	Nice to have	Not important	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Must have	Not important	Must have	Must have	Must have	Must have	Not important	Not important	Not important	Not important	Not important	Nice to have	Must have	Must have	Must have
187	As a: Large Codebase OwnerIn order to: Allow simulation or post-mortem testing of known failure modesI want to: Optionally allow checking of a subset of individual annotations to fail and access its recovery path	7	8	13	0.79	Not important	Not important	Not important	Nice to have	Not important	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Not important	Not important	Must have	Not important	Must have	Must have	Not important	Must have	Not important	Not important	Not important	Not important	Not important	Nice to have	Must have	Nice to have	Must have
188	As a: Large Codebase OwnerIn order to: Allow simulation or post-mortem testing of known failure modesI want to: Optionally allow checking of a subset of individual annotations to fail and continue failing	6	9	13	0.75	Not important	Not important	Nice to have	Nice to have	Not important	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Must have	Not important	Not important	Must have	Not important	Must have	Not important	Not important	Not important	Not important	Not important	Not important	Must have	Not important	Must have
189	As a: Large Codebase OwnerIn order to: Manage performance costI want to: Constrain the set of built time checks according to their performance overhead	5	12	11	0.79	Not important	Not important	Not important	Nice to have	Nice to have	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Nice to have	Must have	Not important	Not important	Not important	Not important	Must have	Nice to have	Nice to have	Nice to have	Not important	Not important	Nice to have	Not important	Not important	Nice to have	Not important	Not important
190	As a: Large Codebase OwnerIn order to: Manage performance costI want to: Constrain the set of runtime checks according to their performance overhead	12	11	5	1.25	Not important	Not important	Nice to have	Nice to have	Must have	Must have	Must have	Must have	Must have	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Must have	Not important	Not important	Must have	Nice to have	Nice to have	Must have	Nice to have	Not important	Must have	Nice to have	Nice to have	Must have	Not important	Must have
191	As a: Large Codebase OwnerIn order to: Tune contract width in complex systemI want to: Be able to narrow individual contract so it fails in testing not in production	6	11	11	0.82	Not important	Not important	Not important	Not important	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Must have	Nice to have	Must have	Nice to have	Nice to have	Nice to have	Nice to have	Not important	Not important	Must have	Not important	Nice to have	Must have	Not important	Nice to have	Not important	Not important	Not important	Must have	Nice to have	Nice to have
